TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
1,A,2017,2017,11,"Agriculture, forestry, fishing, and hunting",176.8,1
1,A,2017,2017,111CA,Farms,138.7,1
1,A,2017,2017,113FF,"Forestry, fishing, and related activities",38.1,1
1,A,2017,2017,21,Mining,267.3,1
1,A,2017,2017,211,Oil and gas extraction,161.1,1
1,A,2017,2017,212,"Mining, except oil and gas",52.3,1
1,A,2017,2017,213,Support activities for mining,53.9,1
1,A,2017,2017,22,Utilities,313.7,1
1,A,2017,2017,23,Construction,840.2,1
1,A,2017,2017,311FT,Food and beverage and tobacco products,275.3,1
1,A,2017,2017,313TT,Textile mills and textile product mills,17.3,1
1,A,2017,2017,315AL,Apparel and leather and allied products,9.4,1
1,A,2017,2017,31G,Manufacturing,2109.7,1
1,A,2017,2017,31ND,Nondurable goods,931.4,1
1,A,2017,2017,321,Wood products,35.7,1
1,A,2017,2017,322,Paper products,55.9,1
1,A,2017,2017,323,Printing and related support activities,40.6,1
1,A,2017,2017,324,Petroleum and coal products,110.7,1
1,A,2017,2017,325,Chemical products,345.1,1
1,A,2017,2017,326,Plastics and rubber products,77.2,1
1,A,2017,2017,327,Nonmetallic mineral products,58.5,1
1,A,2017,2017,331,Primary metals,59.8,1
1,A,2017,2017,332,Fabricated metal products,144.8,1
1,A,2017,2017,333,Machinery,147.6,1
1,A,2017,2017,334,Computer and electronic products,248.7,1
1,A,2017,2017,335,"Electrical equipment, appliances, and components",57.6,1
1,A,2017,2017,3361MV,"Motor vehicles, bodies and trailers, and parts",159.1,1
1,A,2017,2017,3364OT,Other transportation equipment,150.9,1
1,A,2017,2017,337,Furniture and related products,28.9,1
1,A,2017,2017,339,Miscellaneous manufacturing,86.6,1
1,A,2017,2017,33DG,Durable goods,1178.3,1
1,A,2017,2017,42,Wholesale trade,1176.1,1
1,A,2017,2017,441,Motor vehicle and parts dealers,235.8,1
1,A,2017,2017,445,Food and beverage stores,162.1,1
1,A,2017,2017,44RT,Retail trade,1178.9,1
1,A,2017,2017,452,General merchandise stores,152.1,1
1,A,2017,2017,481,Air transportation,128.7,1
1,A,2017,2017,482,Rail transportation,44.3,1
1,A,2017,2017,483,Water transportation,14.0,1
1,A,2017,2017,484,Truck transportation,178.0,1
1,A,2017,2017,485,Transit and ground passenger transportation,43.4,1
1,A,2017,2017,486,Pipeline transportation,41.0,1
1,A,2017,2017,487OS,Other transportation and support activities,125.0,1
1,A,2017,2017,48TW,Transportation and warehousing,635.5,1
1,A,2017,2017,493,Warehousing and storage,61.1,1
1,A,2017,2017,4A0,Other retail,629.0,1
1,A,2017,2017,51,Information,1010.0,1
1,A,2017,2017,511,"Publishing industries, except internet (includes software)",236.0,1
1,A,2017,2017,512,Motion picture and sound recording industries,97.7,1
1,A,2017,2017,513,Broadcasting and telecommunications,462.1,1
1,A,2017,2017,514,"Data processing, internet publishing, and other information services",214.2,1
1,A,2017,2017,52,Finance and insurance,1508.0,1
1,A,2017,2017,521CI,"Federal Reserve banks, credit intermediation, and related activities",648.9,1
1,A,2017,2017,523,"Securities, commodity contracts, and investments",283.4,1
1,A,2017,2017,524,Insurance carriers and related activities,568.9,1
1,A,2017,2017,525,"Funds, trusts, and other financial vehicles",6.8,1
1,A,2017,2017,53,Real estate and rental and leasing,2525.0,1
1,A,2017,2017,531,Real estate,2312.8,1
1,A,2017,2017,532RL,Rental and leasing services and lessors of intangible assets,212.3,1
1,A,2017,2017,54,"Professional, scientific, and technical services",1460.6,1
1,A,2017,2017,5411,Legal services,266.4,1
1,A,2017,2017,5412OP,"Miscellaneous professional, scientific, and technical services",867.8,1
1,A,2017,2017,5415,Computer systems design and related services,326.4,1
1,A,2017,2017,55,Management of companies and enterprises,370.1,1
1,A,2017,2017,56,Administrative and waste management services,602.9,1
1,A,2017,2017,561,Administrative and support services,549.7,1
1,A,2017,2017,562,Waste management and remediation services,53.2,1
1,A,2017,2017,6,"Educational services, health care, and social assistance",1716.9,1
1,A,2017,2017,61,Educational services,245.6,1
1,A,2017,2017,62,Health care and social assistance,1471.3,1
1,A,2017,2017,621,Ambulatory health care services,709.7,1
1,A,2017,2017,622,Hospitals,486.2,1
1,A,2017,2017,623,Nursing and residential care facilities,147.4,1
1,A,2017,2017,624,Social assistance,128.2,1
1,A,2017,2017,7,"Arts, entertainment, recreation, accommodation, and food services",831.2,1
1,A,2017,2017,71,"Arts, entertainment, and recreation",213.8,1
1,A,2017,2017,711AS,"Performing arts, spectator sports, museums, and related activities",126.8,1
1,A,2017,2017,713,"Amusements, gambling, and recreation industries",87.0,1
1,A,2017,2017,72,Accommodation and food services,617.4,1
1,A,2017,2017,721,Accommodation,176.3,1
1,A,2017,2017,722,Food services and drinking places,441.1,1
1,A,2017,2017,81,"Other services, except government",433.2,1
1,A,2017,2017,FIRE,"Finance, insurance, real estate, rental, and leasing",4033.0,1
1,A,2017,2017,G,Government,2455.8,1
1,A,2017,2017,GDP,Gross domestic product,19612.1,1
1,A,2017,2017,GF,Federal,766.5,1
1,A,2017,2017,GFE,Government enterprises,64.3,1
1,A,2017,2017,GFG,General government,702.1,1
1,A,2017,2017,GFGD,National defense,405.6,1
1,A,2017,2017,GFGN,Nondefense,296.5,1
1,A,2017,2017,GSL,State and local,1689.4,1
1,A,2017,2017,GSLE,Government enterprises,144.5,1
1,A,2017,2017,GSLG,General government,1544.9,1
1,A,2017,2017,HS,Housing,1795.3,1
1,A,2017,2017,ICT,Information-communications-technology-producing industries<sup>3</sup>,1309.3,1;1.3.A
1,A,2017,2017,ORE,Other real estate,517.4,1
1,A,2017,2017,PGOOD,Private goods-producing industries<sup>1</sup>,3394.1,1;1.1.A
1,A,2017,2017,PROF,Professional and business services,2433.6,1
1,A,2017,2017,PSERV,Private services-producing industries<sup>2</sup>,13762.2,1;1.2.A
1,A,2017,2017,PVT,Private industries,17156.3,1
1,A,2018,2018,11,"Agriculture, forestry, fishing, and hunting",177.1,1
1,A,2018,2018,111CA,Farms,136.8,1
1,A,2018,2018,113FF,"Forestry, fishing, and related activities",40.3,1
1,A,2018,2018,21,Mining,313.5,1
1,A,2018,2018,211,Oil and gas extraction,189.2,1
1,A,2018,2018,212,"Mining, except oil and gas",52.5,1
1,A,2018,2018,213,Support activities for mining,71.8,1
1,A,2018,2018,22,Utilities,320.4,1
1,A,2018,2018,23,Construction,889.1,1
1,A,2018,2018,311FT,Food and beverage and tobacco products,270.4,1
1,A,2018,2018,313TT,Textile mills and textile product mills,16.6,1
1,A,2018,2018,315AL,Apparel and leather and allied products,9.3,1
1,A,2018,2018,31G,Manufacturing,2261.8,1
1,A,2018,2018,31ND,Nondurable goods,1029.3,1
1,A,2018,2018,321,Wood products,36.9,1
1,A,2018,2018,322,Paper products,60.2,1
1,A,2018,2018,323,Printing and related support activities,41.5,1
1,A,2018,2018,324,Petroleum and coal products,154.2,1
1,A,2018,2018,325,Chemical products,396.2,1
1,A,2018,2018,326,Plastics and rubber products,80.8,1
1,A,2018,2018,327,Nonmetallic mineral products,59.4,1
1,A,2018,2018,331,Primary metals,67.8,1
1,A,2018,2018,332,Fabricated metal products,151.9,1
1,A,2018,2018,333,Machinery,154.9,1
1,A,2018,2018,334,Computer and electronic products,259.9,1
1,A,2018,2018,335,"Electrical equipment, appliances, and components",59.8,1
1,A,2018,2018,3361MV,"Motor vehicles, bodies and trailers, and parts",161.1,1
1,A,2018,2018,3364OT,Other transportation equipment,159.4,1
1,A,2018,2018,337,Furniture and related products,29.9,1
1,A,2018,2018,339,Miscellaneous manufacturing,91.6,1
1,A,2018,2018,33DG,Durable goods,1232.5,1
1,A,2018,2018,42,Wholesale trade,1222.1,1
1,A,2018,2018,441,Motor vehicle and parts dealers,243.3,1
1,A,2018,2018,445,Food and beverage stores,164.1,1
1,A,2018,2018,44RT,Retail trade,1223.6,1
1,A,2018,2018,452,General merchandise stores,155.0,1
1,A,2018,2018,481,Air transportation,131.1,1
1,A,2018,2018,482,Rail transportation,46.6,1
1,A,2018,2018,483,Water transportation,15.7,1
1,A,2018,2018,484,Truck transportation,191.4,1
1,A,2018,2018,485,Transit and ground passenger transportation,46.0,1
1,A,2018,2018,486,Pipeline transportation,44.0,1
1,A,2018,2018,487OS,Other transportation and support activities,133.7,1
1,A,2018,2018,48TW,Transportation and warehousing,677.3,1
1,A,2018,2018,493,Warehousing and storage,68.6,1
1,A,2018,2018,4A0,Other retail,661.2,1
1,A,2018,2018,51,Information,1041.5,1
1,A,2018,2018,511,"Publishing industries, except internet (includes software)",246.7,1
1,A,2018,2018,512,Motion picture and sound recording industries,93.6,1
1,A,2018,2018,513,Broadcasting and telecommunications,474.7,1
1,A,2018,2018,514,"Data processing, internet publishing, and other information services",226.5,1
1,A,2018,2018,52,Finance and insurance,1574.8,1
1,A,2018,2018,521CI,"Federal Reserve banks, credit intermediation, and related activities",686.6,1
1,A,2018,2018,523,"Securities, commodity contracts, and investments",291.7,1
1,A,2018,2018,524,Insurance carriers and related activities,595.6,1
1,A,2018,2018,525,"Funds, trusts, and other financial vehicles",1.0,1
1,A,2018,2018,53,Real estate and rental and leasing,2683.4,1
1,A,2018,2018,531,Real estate,2455.8,1
1,A,2018,2018,532RL,Rental and leasing services and lessors of intangible assets,227.6,1
1,A,2018,2018,54,"Professional, scientific, and technical services",1562.1,1
1,A,2018,2018,5411,Legal services,277.1,1
1,A,2018,2018,5412OP,"Miscellaneous professional, scientific, and technical services",926.4,1
1,A,2018,2018,5415,Computer systems design and related services,358.5,1
1,A,2018,2018,55,Management of companies and enterprises,388.3,1
1,A,2018,2018,56,Administrative and waste management services,638.7,1
1,A,2018,2018,561,Administrative and support services,581.7,1
1,A,2018,2018,562,Waste management and remediation services,57.0,1
1,A,2018,2018,6,"Educational services, health care, and social assistance",1792.0,1
1,A,2018,2018,61,Educational services,257.2,1
1,A,2018,2018,62,Health care and social assistance,1534.7,1
1,A,2018,2018,621,Ambulatory health care services,739.6,1
1,A,2018,2018,622,Hospitals,505.4,1
1,A,2018,2018,623,Nursing and residential care facilities,153.6,1
1,A,2018,2018,624,Social assistance,136.1,1
1,A,2018,2018,7,"Arts, entertainment, recreation, accommodation, and food services",874.6,1
1,A,2018,2018,71,"Arts, entertainment, and recreation",227.2,1
1,A,2018,2018,711AS,"Performing arts, spectator sports, museums, and related activities",135.8,1
1,A,2018,2018,713,"Amusements, gambling, and recreation industries",91.4,1
1,A,2018,2018,72,Accommodation and food services,647.4,1
1,A,2018,2018,721,Accommodation,185.7,1
1,A,2018,2018,722,Food services and drinking places,461.6,1
1,A,2018,2018,81,"Other services, except government",457.7,1
1,A,2018,2018,FIRE,"Finance, insurance, real estate, rental, and leasing",4258.2,1
1,A,2018,2018,G,Government,2558.8,1
1,A,2018,2018,GDP,Gross domestic product,20656.5,1
1,A,2018,2018,GF,Federal,796.8,1
1,A,2018,2018,GFE,Government enterprises,67.1,1
1,A,2018,2018,GFG,General government,729.7,1
1,A,2018,2018,GFGD,National defense,420.1,1
1,A,2018,2018,GFGN,Nondefense,309.6,1
1,A,2018,2018,GSL,State and local,1762.0,1
1,A,2018,2018,GSLE,Government enterprises,150.9,1
1,A,2018,2018,GSLG,General government,1611.0,1
1,A,2018,2018,HS,Housing,1876.2,1
1,A,2018,2018,ICT,Information-communications-technology-producing industries<sup>3</sup>,1380.1,1;1.3.A
1,A,2018,2018,ORE,Other real estate,579.6,1
1,A,2018,2018,PGOOD,Private goods-producing industries<sup>1</sup>,3641.5,1;1.1.A
1,A,2018,2018,PROF,Professional and business services,2589.1,1
1,A,2018,2018,PSERV,Private services-producing industries<sup>2</sup>,14456.3,1;1.2.A
1,A,2018,2018,PVT,Private industries,18097.8,1
1,A,2019,2019,11,"Agriculture, forestry, fishing, and hunting",164.2,1
1,A,2019,2019,111CA,Farms,122.6,1
1,A,2019,2019,113FF,"Forestry, fishing, and related activities",41.6,1
1,A,2019,2019,21,Mining,294.0,1
1,A,2019,2019,211,Oil and gas extraction,172.8,1
1,A,2019,2019,212,"Mining, except oil and gas",53.1,1
1,A,2019,2019,213,Support activities for mining,68.1,1
1,A,2019,2019,22,Utilities,331.6,1
1,A,2019,2019,23,Construction,953.0,1
1,A,2019,2019,311FT,Food and beverage and tobacco products,272.8,1
1,A,2019,2019,313TT,Textile mills and textile product mills,16.7,1
1,A,2019,2019,315AL,Apparel and leather and allied products,9.6,1
1,A,2019,2019,31G,Manufacturing,2268.8,1
1,A,2019,2019,31ND,Nondurable goods,1006.2,1
1,A,2019,2019,321,Wood products,36.8,1
1,A,2019,2019,322,Paper products,62.7,1
1,A,2019,2019,323,Printing and related support activities,41.5,1
1,A,2019,2019,324,Petroleum and coal products,143.4,1
1,A,2019,2019,325,Chemical products,374.8,1
1,A,2019,2019,326,Plastics and rubber products,84.8,1
1,A,2019,2019,327,Nonmetallic mineral products,63.0,1
1,A,2019,2019,331,Primary metals,67.4,1
1,A,2019,2019,332,Fabricated metal products,158.8,1
1,A,2019,2019,333,Machinery,161.0,1
1,A,2019,2019,334,Computer and electronic products,266.3,1
1,A,2019,2019,335,"Electrical equipment, appliances, and components",60.1,1
1,A,2019,2019,3361MV,"Motor vehicles, bodies and trailers, and parts",161.8,1
1,A,2019,2019,3364OT,Other transportation equipment,165.6,1
1,A,2019,2019,337,Furniture and related products,30.4,1
1,A,2019,2019,339,Miscellaneous manufacturing,91.4,1
1,A,2019,2019,33DG,Durable goods,1262.5,1
1,A,2019,2019,42,Wholesale trade,1296.8,1
1,A,2019,2019,441,Motor vehicle and parts dealers,257.5,1
1,A,2019,2019,445,Food and beverage stores,168.7,1
1,A,2019,2019,44RT,Retail trade,1277.6,1
1,A,2019,2019,452,General merchandise stores,159.9,1
1,A,2019,2019,481,Air transportation,140.2,1
1,A,2019,2019,482,Rail transportation,46.2,1
1,A,2019,2019,483,Water transportation,15.5,1
1,A,2019,2019,484,Truck transportation,197.4,1
1,A,2019,2019,485,Transit and ground passenger transportation,54.3,1
1,A,2019,2019,486,Pipeline transportation,38.9,1
1,A,2019,2019,487OS,Other transportation and support activities,144.0,1
1,A,2019,2019,48TW,Transportation and warehousing,710.0,1
1,A,2019,2019,493,Warehousing and storage,73.4,1
1,A,2019,2019,4A0,Other retail,691.4,1
1,A,2019,2019,51,Information,1142.6,1
1,A,2019,2019,511,"Publishing industries, except internet (includes software)",278.4,1
1,A,2019,2019,512,Motion picture and sound recording industries,88.5,1
1,A,2019,2019,513,Broadcasting and telecommunications,501.6,1
1,A,2019,2019,514,"Data processing, internet publishing, and other information services",274.1,1
1,A,2019,2019,52,Finance and insurance,1652.3,1
1,A,2019,2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",740.1,1
1,A,2019,2019,523,"Securities, commodity contracts, and investments",279.0,1
1,A,2019,2019,524,Insurance carriers and related activities,631.4,1
1,A,2019,2019,525,"Funds, trusts, and other financial vehicles",1.8,1
1,A,2019,2019,53,Real estate and rental and leasing,2805.9,1
1,A,2019,2019,531,Real estate,2563.7,1
1,A,2019,2019,532RL,Rental and leasing services and lessors of intangible assets,242.1,1
1,A,2019,2019,54,"Professional, scientific, and technical services",1653.1,1
1,A,2019,2019,5411,Legal services,290.1,1
1,A,2019,2019,5412OP,"Miscellaneous professional, scientific, and technical services",984.3,1
1,A,2019,2019,5415,Computer systems design and related services,378.6,1
1,A,2019,2019,55,Management of companies and enterprises,405.6,1
1,A,2019,2019,56,Administrative and waste management services,670.2,1
1,A,2019,2019,561,Administrative and support services,611.3,1
1,A,2019,2019,562,Waste management and remediation services,58.9,1
1,A,2019,2019,6,"Educational services, health care, and social assistance",1884.2,1
1,A,2019,2019,61,Educational services,270.3,1
1,A,2019,2019,62,Health care and social assistance,1613.9,1
1,A,2019,2019,621,Ambulatory health care services,783.4,1
1,A,2019,2019,622,Hospitals,525.0,1
1,A,2019,2019,623,Nursing and residential care facilities,158.6,1
1,A,2019,2019,624,Social assistance,146.9,1
1,A,2019,2019,7,"Arts, entertainment, recreation, accommodation, and food services",922.2,1
1,A,2019,2019,71,"Arts, entertainment, and recreation",237.1,1
1,A,2019,2019,711AS,"Performing arts, spectator sports, museums, and related activities",140.5,1
1,A,2019,2019,713,"Amusements, gambling, and recreation industries",96.6,1
